# Y-M-D   T H:M:S     ObsNum  ObsGoal      ObgPgm    SourceName                ProjectId                      RestFreq  VLSR      TINT   RA        DEC          AZ    EL
2020-03-17T23:47:54    92669  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  142.8  61.1  432 0
2020-03-17T23:48:20    92670  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  143.0  61.1  432 0
2020-03-18T00:05:52    92671  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  151.0  63.4  432 0
2020-03-18T00:06:17    92672  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  151.2  63.4  432 0
2020-03-18T00:24:00    92673  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  160.6  65.2  432 0
2020-03-18T00:24:25    92674  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  160.9  65.2  432 0
2020-03-18T00:42:11    92675  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  171.4  66.2  432 0
2020-03-18T00:42:36    92676  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  171.7  66.2  432 0
2020-03-18T01:25:03    92683  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  197.2  65.4  432 0
2020-03-18T01:25:29    92684  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  197.9  65.4  432 0
2020-03-18T01:43:14    92685  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  207.5  63.7  432 0
2020-03-18T01:43:40    92686  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  207.7  63.7  432 0
2020-03-18T02:08:53    92691  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  218.8  60.5  432 0
2020-03-18T02:09:19    92692  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  219.4  60.3  432 0
2020-03-18T02:31:06    92693  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  227.3  56.8  432 0
2020-03-18T02:31:32    92694  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  227.4  56.7  432 0
2020-03-18T02:56:29    92697  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  234.4  52.3  432 0
2020-03-18T02:56:57    92698  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  234.8  52.0  432 0
2020-03-18T03:14:59    92699  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  239.0  48.4  432 0
2020-03-18T03:15:24    92700  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  239.1  48.3  432 0
2020-03-18T03:33:26    92701  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  242.8  44.6  432 0
2020-03-18T03:33:52    92702  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  242.9  44.5  432 0

2020-03-18T23:44:34    92754  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  142.6  61.0  432 0
2020-03-18T23:45:00    92755  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  143.2  61.2  432 0
2020-03-19T00:24:02    92760  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  162.4  65.4  432 0
2020-03-19T00:24:28    92761  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  163.2  65.5  432 0
2020-03-19T00:44:23    92762  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  175.2  66.4  432 0
2020-03-19T00:44:48    92763  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  175.4  66.4  432 0
2020-03-19T01:04:35    92764  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  187.8  66.2  432 0
2020-03-19T01:05:00    92765  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  188.0  66.2  432 0
2020-03-19T01:28:43    92768  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  201.5  64.8  432 0
2020-03-19T01:29:09    92769  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  202.1  64.7  432 0
2020-03-19T01:46:52    92770  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  211.2  62.8  432 0
2020-03-19T01:47:17    92771  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  211.4  62.8  432 0
2020-03-19T02:05:13    92772  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  219.3  60.3  432 0
2020-03-19T02:05:39    92773  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.1  152.783750  -4.704639  219.5  60.3  432 0
2020-03-19T02:28:55    92776  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  227.6  56.6  432 0
2020-03-19T02:29:23    92777  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  228.0  56.4  432 0
2020-03-19T02:47:42    92778  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  233.4  53.0  432 0
2020-03-19T02:48:07    92779  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  233.5  52.9  432 0
2020-03-19T03:05:57    92780  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  237.9  49.4  432 0
2020-03-19T03:06:23    92781  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  238.0  49.3  432 0
2020-03-19T03:28:11    92784  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  242.5  44.9  432 0
2020-03-19T03:28:38    92785  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  242.6  44.8  432 0
2020-03-19T03:46:15    92786  Calibration  Cal       SEXTANS-A                 2018-S1-MU-64                  115.2712   315       5.0  152.783750  -4.704639  245.8  41.0  432 0
2020-03-19T03:46:40    92787  Science      Map(Ra)   SEXTANS-A                 2018-S1-MU-64                  115.2712   315     624.0  152.783750  -4.704639  245.8  40.9  432 0

